Station,date,Period,predicted_ridership,required_trains
Other,2022-06-18,Weekend/Holiday,237.9128277153641,1
Other,2022-07-01,Weekend/Holiday,130.6717633277143,1
Other,2022-07-09,Weekend/Holiday,523.0198766521399,1
Other,2022-07-16,Weekend/Holiday,236.4622989777696,1
Other,2022-07-20,Evening,109.9259960252349,1
Other,2022-07-26,Midday,464.4250409672265,1
Other,2022-07-30,Weekend/Holiday,302.2342359053217,1
Other,2022-08-13,Weekend/Holiday,252.61723955241348,1
Other,2022-08-15,Midday,497.9899259221984,1
Other,2022-08-22,PM Peak,104.10186293210899,1
Other,2022-08-26,Midday,273.2727113440821,1
Other,2022-08-26,PM Peak,65.68443481762381,1
Other,2022-08-28,Weekend/Holiday,326.4514128860337,1
Other,2022-08-30,Midday,711.3054262001999,1
Other,2022-09-03,Weekend/Holiday,475.70737672518067,1
Other,2022-09-09,Evening,255.96490784683124,1
Other,2022-09-17,Weekend/Holiday,198.5614880741044,1
Other,2022-09-18,Weekend/Holiday,196.22241189463682,1
Other,2022-09-20,PM Peak,106.96705317346397,1
Other,2022-09-27,Evening,107.14178917743095,1
Other,2022-09-27,Midday,118.19805325825553,1
Other,2022-09-29,Evening,101.8904879549018,1
Other,2022-10-04,PM Peak,108.30019226697311,1
Other,2022-10-16,Weekend/Holiday,209.6885718072609,1
Other,2022-10-19,Midday,114.74759691985878,1
Other,2022-10-24,Midday,108.075224944549,1
Other,2022-11-04,PM Peak,133.1636464324368,1
Other,2022-11-06,Weekend/Holiday,254.8739055718736,1
Other,2022-11-11,Midday,61.99631391269685,1
Other,2022-11-18,Midday,89.04913385350329,1
Other,2022-11-23,Midday,82.852055363842,1
Other,2022-11-24,Midday,89.56623635951286,1
Other,2022-12-01,PM Peak,249.70602491252976,1
Other,2022-12-23,Evening,387.4530819096551,1
Other,2022-12-24,Weekend/Holiday,152.7989829581856,1
Other,2022-12-25,Weekend/Holiday,128.44335948815893,1
Other,2022-12-26,Weekend/Holiday,97.26698724453331,1
Other,2022-12-29,Midday,91.62010170673523,1
Station_1,2022-01-07,AM Peak,223.03229635888,1
