Station,date,Period,predicted_ridership,required_trains
Station_1,2022-01-10,Evening,133.0134,1
Station_1,2022-01-11,AM Peak,204.42242,1
Station_1,2022-01-11,Evening,231.60574,1
Station_1,2022-01-11,Midday,178.69023,1
Station_1,2022-01-12,AM Peak,153.66728,1
Station_1,2022-01-12,Evening,141.1674,1
Station_1,2022-01-12,Midday,146.32446,1
Station_1,2022-01-13,AM Peak,163.398,1
Station_1,2022-01-13,Evening,147.57219,1
Station_1,2022-01-13,Midday,164.17128,1
Station_1,2022-01-14,AM Peak,152.279,1
Station_1,2022-01-14,Evening,117.74752,1
Station_1,2022-01-14,Midday,142.17905,1
Station_1,2022-01-15,Weekend/Holiday,146.75574,1
Station_1,2022-01-16,Weekend/Holiday,148.88727,1
Station_1,2022-01-17,AM Peak,124.07405,1
Station_1,2022-01-17,Evening,87.16326,1
Station_1,2022-01-17,Midday,109.59752,1
Station_1,2022-01-18,AM Peak,184.57716,1
Station_1,2022-01-18,Midday,125.88301,1
Station_1,2022-01-19,AM Peak,158.27411,1
Station_1,2022-01-19,Midday,165.52193,1
Station_1,2022-01-20,AM Peak,150.60841,1
Station_1,2022-01-20,Midday,123.94177,1
Station_1,2022-01-21,AM Peak,137.94225,1
Station_1,2022-01-21,Midday,122.68842,1
Station_1,2022-01-24,AM Peak,148.4276,1
Station_1,2022-01-24,Midday,138.5984,1
Station_1,2022-01-25,AM Peak,180.36852,1
Station_1,2022-01-25,Midday,159.796,1
Station_1,2022-01-26,AM Peak,221.36658,1
Station_1,2022-01-26,Midday,195.2982,1
Station_1,2022-01-27,AM Peak,195.72177,1
Station_1,2022-01-27,Midday,177.81548,1
Station_1,2022-01-28,AM Peak,181.80714,1
Station_1,2022-01-28,Midday,162.47156,1
Station_1,2022-01-31,AM Peak,202.38075,1
Station_1,2022-01-31,Midday,163.85272,1
Station_1,2022-02-01,AM Peak,163.36266,1
Station_1,2022-02-01,Midday,154.39366,1
Station_1,2022-02-02,AM Peak,200.16898,1
Station_1,2022-02-02,Midday,189.41591,1
Station_1,2022-02-03,AM Peak,309.6434,1
Station_1,2022-02-03,Midday,245.93616,1
Station_1,2022-02-04,AM Peak,270.58975,1
Station_1,2022-02-04,Midday,266.23593,1
Station_1,2022-02-07,AM Peak,301.98584,1
Station_1,2022-02-07,Midday,279.54926,1
Station_1,2022-02-08,AM Peak,312.08234,1
Station_1,2022-02-08,Midday,277.04315,1
Station_1,2022-02-09,AM Peak,299.27402,1
Station_1,2022-02-09,Midday,288.27087,1
Station_1,2022-02-10,AM Peak,321.9301,1
Station_1,2022-02-10,Midday,315.01077,1
Station_1,2022-02-11,AM Peak,332.79138,1
Station_1,2022-02-11,Midday,361.4801,1
Station_1,2022-02-14,AM Peak,332.1618,1
Station_1,2022-02-14,Midday,331.10645,1
Station_1,2022-02-15,AM Peak,426.45853,1
Station_1,2022-02-15,Midday,353.48502,1
Station_1,2022-02-16,AM Peak,379.26477,1
Station_1,2022-02-16,Midday,341.82245,1
Station_1,2022-02-17,AM Peak,376.30048,1
Station_1,2022-02-17,Midday,342.14127,1
Station_1,2022-02-18,AM Peak,343.76425,1
Station_1,2022-02-18,Midday,457.1118,1
Station_1,2022-02-22,AM Peak,469.506,1
Station_1,2022-02-22,Midday,450.16724,1
Station_1,2022-02-23,AM Peak,357.98032,1
Station_1,2022-02-23,Midday,379.67633,1
Station_1,2022-02-24,AM Peak,357.23,1
Station_1,2022-02-24,Midday,378.8721,1
Station_1,2022-02-25,AM Peak,369.65073,1
Station_1,2022-02-25,Midday,425.71765,1
Station_1,2022-02-28,AM Peak,435.46646,1
Station_1,2022-02-28,Midday,365.47025,1
Station_1,2022-03-01,AM Peak,399.01712,1
Station_1,2022-03-01,Midday,351.64218,1
Station_1,2022-03-02,AM Peak,359.93127,1
Station_1,2022-03-02,Midday,422.30862,1
Station_1,2022-03-03,AM Peak,461.20834,1
Station_1,2022-03-03,Midday,388.79956,1
Station_1,2022-03-04,AM Peak,463.91962,1
Station_1,2022-03-04,Midday,505.9631,1
Station_1,2022-03-07,AM Peak,535.6663,1
Station_1,2022-03-07,Midday,495.3493,1
Station_1,2022-03-08,AM Peak,428.88504,1
Station_1,2022-03-08,Midday,511.82016,1
Station_1,2022-03-09,AM Peak,523.74097,1
Station_1,2022-03-09,Midday,451.845,1
Station_1,2022-03-10,AM Peak,477.96408,1
Station_1,2022-03-10,Midday,521.66016,1
Station_1,2022-03-11,AM Peak,493.4567,1
Station_1,2022-03-11,Midday,561.1245,1
Station_1,2022-03-14,AM Peak,559.0281,1
Station_1,2022-03-14,Midday,547.2774,1
Station_1,2022-03-15,AM Peak,514.17993,1
Station_1,2022-03-15,Midday,470.5529,1
Station_1,2022-03-16,AM Peak,488.42303,1
Station_1,2022-03-16,Midday,429.78094,1
Station_1,2022-03-17,AM Peak,455.27594,1
Station_1,2022-03-17,Midday,562.09625,1
Station_1,2022-03-18,AM Peak,557.29156,1
Station_1,2022-03-18,Midday,588.63513,1
Station_1,2022-03-21,AM Peak,531.6797,1
Station_1,2022-03-21,Midday,577.3861,1
Station_1,2022-03-22,AM Peak,505.362,1
Station_1,2022-03-22,Midday,482.21347,1
Station_1,2022-03-23,AM Peak,529.96826,1
Station_1,2022-03-23,Midday,465.0318,1
Station_1,2022-03-24,AM Peak,497.46417,1
Station_1,2022-03-24,Midday,562.4004,1
Station_1,2022-03-25,AM Peak,539.6408,1
Station_1,2022-03-25,Midday,564.9911,1
Station_1,2022-03-28,AM Peak,540.15894,1
Station_1,2022-03-28,Midday,551.3673,1
Station_1,2022-03-29,AM Peak,559.1183,1
Station_1,2022-03-29,Midday,495.8022,1
Station_1,2022-03-30,AM Peak,529.6424,1
Station_1,2022-03-30,Midday,470.549,1
Station_1,2022-03-31,AM Peak,513.17706,1
Station_1,2022-03-31,Midday,464.37512,1
Station_1,2022-04-01,AM Peak,504.30212,1
Station_1,2022-04-01,Midday,563.7077,1
Station_1,2022-04-04,AM Peak,576.8646,1
Station_1,2022-04-04,Midday,564.7589,1
Station_1,2022-04-05,AM Peak,529.7119,1
Station_1,2022-04-05,Midday,527.223,1
Station_1,2022-04-06,AM Peak,492.55066,1
Station_1,2022-04-06,Midday,528.38464,1
Station_1,2022-04-07,AM Peak,515.6996,1
Station_1,2022-04-07,Midday,553.82056,1
Station_1,2022-04-08,AM Peak,511.56216,1
Station_1,2022-04-08,Midday,547.34564,1
Station_1,2022-04-11,AM Peak,522.67035,1
Station_1,2022-04-11,Midday,523.3127,1
Station_1,2022-04-12,AM Peak,573.09515,1
Station_1,2022-04-12,Midday,507.6062,1
Station_1,2022-04-13,AM Peak,557.8928,1
Station_1,2022-04-13,Midday,496.52954,1
Station_1,2022-04-14,AM Peak,482.44073,1
Station_1,2022-04-14,Midday,526.1637,1
Station_1,2022-04-18,AM Peak,521.5271,1
Station_1,2022-04-18,Midday,547.4783,1
Station_1,2022-04-19,AM Peak,547.05524,1
Station_1,2022-04-19,Midday,515.8195,1
Station_1,2022-04-20,AM Peak,507.1631,1
Station_1,2022-04-20,Midday,500.37943,1
Station_1,2022-04-21,AM Peak,557.5794,1
Station_1,2022-04-21,Midday,503.88092,1
Station_1,2022-04-22,AM Peak,508.2745,1
Station_1,2022-04-22,Midday,536.49335,1
Station_1,2022-04-25,AM Peak,565.1175,1
Station_1,2022-04-25,Midday,554.17865,1
Station_1,2022-04-26,AM Peak,469.39896,1
Station_1,2022-04-26,Midday,479.37915,1
Station_1,2022-04-27,AM Peak,501.44766,1
Station_1,2022-04-27,Midday,528.27924,1
Station_1,2022-04-28,AM Peak,499.9623,1
Station_1,2022-04-28,Midday,564.7248,1
Station_1,2022-04-29,AM Peak,553.5363,1
Station_1,2022-04-29,Midday,549.073,1
Station_1,2022-05-02,AM Peak,565.8713,1
Station_1,2022-05-02,Midday,528.8782,1
Station_1,2022-05-03,AM Peak,482.3804,1
Station_1,2022-05-03,Midday,468.7874,1
Station_1,2022-05-04,AM Peak,572.1784,1
Station_1,2022-05-04,Midday,500.32263,1
Station_1,2022-05-05,AM Peak,494.8132,1
Station_1,2022-05-05,Midday,534.8212,1
Station_1,2022-05-06,AM Peak,544.4306,1
Station_1,2022-05-06,Midday,537.77,1
Station_1,2022-05-09,AM Peak,551.99,1
Station_1,2022-05-09,Midday,522.0454,1
Station_1,2022-05-10,AM Peak,551.2898,1
Station_1,2022-05-10,Midday,497.06628,1
Station_1,2022-05-11,AM Peak,537.826,1
Station_1,2022-05-11,Midday,479.28625,1
Station_1,2022-05-12,AM Peak,486.97897,1
Station_1,2022-05-12,Midday,537.37177,1
Station_1,2022-05-13,AM Peak,547.4979,1
Station_1,2022-05-13,Midday,539.69116,1
Station_1,2022-05-16,AM Peak,543.3223,1
Station_1,2022-05-16,Midday,521.51465,1
Station_1,2022-05-17,AM Peak,512.5913,1
Station_1,2022-05-17,Midday,524.62494,1
Station_1,2022-05-18,AM Peak,528.0581,1
Station_1,2022-05-18,Midday,541.9497,1
Station_1,2022-05-19,AM Peak,524.8379,1
Station_1,2022-05-19,Midday,531.5135,1
Station_1,2022-05-20,AM Peak,488.75748,1
Station_1,2022-05-20,Midday,516.2744,1
Station_1,2022-05-21,Weekend/Holiday,491.83563,1
Station_1,2022-05-22,Weekend/Holiday,528.8937,1
Station_1,2022-05-23,Weekend/Holiday,573.7134,1
Station_1,2022-05-24,AM Peak,345.9773,1
Station_1,2022-05-24,Evening,553.754,1
Station_1,2022-05-24,Midday,433.65176,1
Station_1,2022-05-25,AM Peak,274.18518,1
Station_1,2022-05-25,Evening,459.8533,1
Station_1,2022-05-25,Midday,542.2348,1
Station_1,2022-05-26,AM Peak,589.424,1
